accession	family	feature_id	feature_name	model	phenotype_class	analysis_role	exposure_n	cohort	ldsc_h2	ldsc_h2_se	ldsc_h2_z	source_gwas_path
GCST90671159	species	GCF_014384965.1	Butyribacter hominis	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90671159/GCST90671159.h.tsv.gz
GCST90670529	species	GCA_001414325.1	Butyribacter intestini	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670529/GCST90670529.h.tsv.gz
GCST90670498	species	GCA_900757655.1	CAG-103 sp900757655	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670498/GCST90670498.h.tsv.gz
GCST90670435	species	GCA_003531585.1	CAG-115 sp003531585	Linear	abundance	primary	16017	Swedish	0.0824	0.0297	2.774410774410774	data/raw/gwas/microbiome_swedish/GCST90670435/GCST90670435.h.tsv.gz
GCST90666772	species	hMGS.00736	CAG-170 sp000436735	continuous relative abundance	abundance	primary	12652	HUNT	0.0379	0.0347	1.0922190201729107	data/raw/gwas/microbiome_hunt/GCST90666772/GCST90666772.h.tsv.gz
GCST90666710	species	hMGS.00391	CAG-170 sp003516765	continuous relative abundance	abundance	primary	12652	HUNT	0.0856	0.038	2.2526315789473683	data/raw/gwas/microbiome_hunt/GCST90666710/GCST90666710.h.tsv.gz
GCST90670515	species	GCA_900545925.1	CAG-170 sp900545925	Linear	abundance	primary	16017	Swedish	0.0817	0.028	2.9178571428571427	data/raw/gwas/microbiome_swedish/GCST90670515/GCST90670515.h.tsv.gz
GCST90666823	species	hMGS.01165	CAG-170 sp900553545	continuous relative abundance	abundance	primary	12652	HUNT	0.041	0.0343	1.1953352769679302	data/raw/gwas/microbiome_hunt/GCST90666823/GCST90666823.h.tsv.gz
GCST90670634	species	GCA_000434195.1	CAG-245 sp000434195	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670634/GCST90670634.h.tsv.gz
GCST90670732	species	GCA_905213875.1	CAG-269 sp905213875	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670732/GCST90670732.h.tsv.gz
GCST90670562	species	GCA_000437855.1	CAG-273 sp000437855	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670562/GCST90670562.h.tsv.gz
GCST90671134	species	GCA_934162325.1	CAG-302 sp934162325	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90671134/GCST90671134.h.tsv.gz
GCST90670492	species	GCA_003539625.1	CAG-313 sp003539625	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670492/GCST90670492.h.tsv.gz
GCST90666653	species	hMGS.00197	CAG-314 sp000437915	continuous relative abundance	abundance	primary	12652	HUNT	0.0176	0.0361	0.4875346260387811	data/raw/gwas/microbiome_hunt/GCST90666653/GCST90666653.h.tsv.gz
GCST90670792	species	GCF_003435815.1	CAG-317 sp000433215	Linear	abundance	primary	16017	Swedish	0.025	0.0301	0.8305647840531563	data/raw/gwas/microbiome_swedish/GCST90670792/GCST90670792.h.tsv.gz
GCST90670644	species	GCA_000433315.1	CAG-345 sp000433315	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670644/GCST90670644.h.tsv.gz
GCST90670478	species	GCA_003486385.1	CAG-882 sp003486385	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670478/GCST90670478.h.tsv.gz
GCST90670468	species	GCA_001916965.1	COE1 sp001916965	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670468/GCST90670468.h.tsv.gz
GCST90670966	species	GCA_018715025.1	Caccousia avistercoris	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670966/GCST90670966.h.tsv.gz
GCST90671147	species		Cag-433 hMGS.05835	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90671147/GCST90671147.h.tsv.gz
GCST90671051	species	GCA_018369015.1	Catenibacillus sp018369015	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90671051/GCST90671051.h.tsv.gz
GCST90666954	species	hMGS.03548	Christensenella hongkongensis	continuous relative abundance	abundance	primary	12652	HUNT	0.0432	0.0375	1.152	data/raw/gwas/microbiome_hunt/GCST90666954/GCST90666954.h.tsv.gz
GCST90666767	species	hMGS.00721	Clostridium saudiense	continuous relative abundance	abundance	primary	12652	HUNT	0.1793	0.038	4.718421052631578	data/raw/gwas/microbiome_hunt/GCST90666767/GCST90666767.h.tsv.gz
GCST90670684	species	GCF_000577815.1	Clostridium saudiense	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish/GCST90670684/GCST90670684.h.tsv.gz
GCST90670630	species	GCF_014287815.1	Clostridium sp001916075	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish/GCST90670630/GCST90670630.h.tsv.gz
GCST90666647	species	hMGS.00185	Clostridium sp900540255	continuous relative abundance	abundance	primary	12652	HUNT	0.0015	0.0328	0.0457317073170731	data/raw/gwas/microbiome_hunt/GCST90666647/GCST90666647.h.tsv.gz
GCST90670494	species	GCA_900540255.1	Clostridium sp900540255	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish/GCST90670494/GCST90670494.h.tsv.gz
GCST90666994	species	hMGS.05755	Collinsella aerofaciens hMGS.05755	continuous relative abundance	abundance	primary	12652	HUNT	-0.0113	0.0314	-0.3598726114649682	data/raw/gwas/microbiome_hunt/GCST90666994/GCST90666994.h.tsv.gz
GCST90666813	species	hMGS.01048	Coprobacillus cateniformis	continuous relative abundance	abundance	primary	12652	HUNT	-0.0105	0.0343	-0.3061224489795919	data/raw/gwas/microbiome_hunt/GCST90666813/GCST90666813.h.tsv.gz
GCST90670769	species	GCF_009767585.1	Coprobacillus cateniformis	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish/GCST90670769/GCST90670769.h.tsv.gz
GCST90670384	species	GCF_001404675.1	Coprococcus eutactus A	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670384/GCST90670384.h.tsv.gz
GCST90666672	species	hMGS.00259	Coprococcus sp000154245	continuous relative abundance	abundance	primary	12652	HUNT	0.0036	0.035	0.1028571428571428	data/raw/gwas/microbiome_hunt/GCST90666672/GCST90666672.h.tsv.gz
GCST90666585	species	hMGS.00053	Coprococcus sp900066115	continuous relative abundance	abundance	primary	12652	HUNT	0.0159	0.0361	0.4404432132963989	data/raw/gwas/microbiome_hunt/GCST90666585/GCST90666585.h.tsv.gz
GCST90666718	species	hMGS.00409	Copromonas sp000435795	continuous relative abundance	abundance	primary	12652	HUNT	0.1653	0.0471	3.5095541401273884	data/raw/gwas/microbiome_hunt/GCST90666718/GCST90666718.h.tsv.gz
GCST90670925	species	GCA_018223415.1	Copromonas sp900541255	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670925/GCST90670925.h.tsv.gz
GCST90671235	species	GCF_014334055.1	Dysosmobacter A sp014334055	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90671235/GCST90671235.h.tsv.gz
GCST90666913	species	hMGS.02664	Dysosmobacter avistercoris	continuous relative abundance	abundance	primary	12652	HUNT	0.0627	0.0338	1.8550295857988168	data/raw/gwas/microbiome_hunt/GCST90666913/GCST90666913.h.tsv.gz
GCST90666871	species	hMGS.01687	Dysosmobacter excrementavium	continuous relative abundance	abundance	primary	12652	HUNT	-0.005	0.0375	-0.1333333333333333	data/raw/gwas/microbiome_hunt/GCST90666871/GCST90666871.h.tsv.gz
GCST90670881	species	GCA_019118505.1	Dysosmobacter excrementavium	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670881/GCST90670881.h.tsv.gz
GCST90667049	species	hMGS.06911	Dysosmobacter faecalis	continuous relative abundance	abundance	primary	12652	HUNT	0.0454	0.0393	1.1552162849872774	data/raw/gwas/microbiome_hunt/GCST90667049/GCST90667049.h.tsv.gz
GCST90671032	species		Dysosmobacter hMGS.03207	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90671032/GCST90671032.h.tsv.gz
GCST90666652	species	hMGS.00195	Dysosmobacter sp001916835	continuous relative abundance	abundance	primary	12652	HUNT	0.0903	0.0362	2.494475138121547	data/raw/gwas/microbiome_hunt/GCST90666652/GCST90666652.h.tsv.gz
GCST90670899	species	GCA_900544615.1	Dysosmobacter sp900544615	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670899/GCST90670899.h.tsv.gz
GCST90671189	species	GCA_944387015.1	Dysosmobacter sp944387015	Linear	abundance	primary	16017	Swedish	0.0479	0.0274	1.7481751824817515	data/raw/gwas/microbiome_swedish/GCST90671189/GCST90671189.h.tsv.gz
GCST90666669	species	hMGS.00252	Dysosmobacter welbionis	continuous relative abundance	abundance	primary	12652	HUNT	0.0872	0.065	1.3415384615384616	data/raw/gwas/microbiome_hunt/GCST90666669/GCST90666669.h.tsv.gz
GCST90670711	species	GCA_900553295.1	Egerieenecus merdigallinarum	Linear	abundance	primary	16017	Swedish	0.0412	0.0287	1.4355400696864111	data/raw/gwas/microbiome_swedish/GCST90670711/GCST90670711.h.tsv.gz
GCST90667052	species	hMGS.06989	Egerieenecus sp900553315	continuous relative abundance	abundance	primary	12652	HUNT	0.0221	0.0366	0.6038251366120219	data/raw/gwas/microbiome_hunt/GCST90667052/GCST90667052.h.tsv.gz
GCST90671057	species	GCA_904420065.1	Emergencia sp904420065	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90671057/GCST90671057.h.tsv.gz
GCST90666895	species	hMGS.02189	Enterocloster asparagiformis	continuous relative abundance	abundance	primary	12652	HUNT	0.0324	0.0353	0.9178470254957508	data/raw/gwas/microbiome_hunt/GCST90666895/GCST90666895.h.tsv.gz
GCST90670927	species	GCA_025149125.1	Enterocloster asparagiformis	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670927/GCST90670927.h.tsv.gz
GCST90670884	species	GCA_900547035.1	Enterocloster excrementigallinarum	Linear	abundance	primary	16017	Swedish	0.1058	0.0333	3.177177177177177	data/raw/gwas/microbiome_swedish/GCST90670884/GCST90670884.h.tsv.gz
GCST90670551	species	GCF_001517625.2	Enterocloster sp001517625	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670551/GCST90670551.h.tsv.gz
GCST90666957	species	hMGS.03827	Enterocloster sp900753815	continuous relative abundance	abundance	primary	12652	HUNT	0.0389	0.0384	1.0130208333333333	data/raw/gwas/microbiome_hunt/GCST90666957/GCST90666957.h.tsv.gz
GCST90666741	species	hMGS.00506	Eubacterium F sp000433735	continuous relative abundance	abundance	primary	12652	HUNT	0.0874	0.0343	2.548104956268222	data/raw/gwas/microbiome_hunt/GCST90666741/GCST90666741.h.tsv.gz
GCST90666657	species	hMGS.00208	Eubacterium F sp900539115	continuous relative abundance	abundance	primary	12652	HUNT	0.0407	0.0346	1.176300578034682	data/raw/gwas/microbiome_hunt/GCST90666657/GCST90666657.h.tsv.gz
GCST90670460	species	GCA_000434995.1	Eubacterium R sp000434995	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670460/GCST90670460.h.tsv.gz
GCST90666594	species	hMGS.00066	Eubacterium R sp000436835	continuous relative abundance	abundance	primary	12652	HUNT	-0.009	0.0317	-0.2839116719242902	data/raw/gwas/microbiome_hunt/GCST90666594/GCST90666594.h.tsv.gz
GCST90671277	species	GCA_018711685.1	Excrementavichristensenella intestinipullorum	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90671277/GCST90671277.h.tsv.gz
GCST90671130	species	GCF_020687245.1	Faecalibacterium longum	Linear	abundance	primary	16017	Swedish	0.0706	0.0372	1.8978494623655917	data/raw/gwas/microbiome_swedish/GCST90671130/GCST90671130.h.tsv.gz
GCST90670409	species	GCF_023347235.1	Faecalibacterium prausnitzii A	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670409/GCST90670409.h.tsv.gz
GCST90670780	species	GCF_002549775.1	Faecalibacterium prausnitzii F	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670780/GCST90670780.h.tsv.gz
GCST90666682	species	hMGS.00290	Faecalibacterium prausnitzii J	continuous relative abundance	abundance	primary	12652	HUNT	0.0509	0.0364	1.3983516483516485	data/raw/gwas/microbiome_hunt/GCST90666682/GCST90666682.h.tsv.gz
GCST90670588	species	GCA_900539945.1	Faecalibacterium sp900539945	Linear	abundance	primary	16017	Swedish	0.0162	0.0297	0.5454545454545454	data/raw/gwas/microbiome_swedish/GCST90670588/GCST90670588.h.tsv.gz
GCST90666958	species	hMGS.03869	Faecaligallichristensenella faecipullorum	continuous relative abundance	abundance	primary	12652	HUNT	-0.0011	0.0345	-0.0318840579710144	data/raw/gwas/microbiome_hunt/GCST90666958/GCST90666958.h.tsv.gz
GCST90670554	species	GCF_900104635.1	Faecalimonas phoceensis	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670554/GCST90670554.h.tsv.gz
GCST90670835	species	GCA_900553265.1	Faecivicinus sp900553265	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670835/GCST90670835.h.tsv.gz
GCST90670428	species	GCA_000434635.1	Faecousia sp000434635	Linear	abundance	primary	16017	Swedish	0.0407	0.0283	1.438162544169611	data/raw/gwas/microbiome_swedish/GCST90670428/GCST90670428.h.tsv.gz
GCST90670748	species	GCA_900545515.1	Faecousia sp000435995	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670748/GCST90670748.h.tsv.gz
GCST90666850	species	hMGS.01432	Fimadaptatus sp900553645	continuous relative abundance	abundance	primary	12652	HUNT	0.0976	0.0378	2.5820105820105823	data/raw/gwas/microbiome_hunt/GCST90666850/GCST90666850.h.tsv.gz
GCST90666580	species	hMGS.00046	Fimenecus sp000432435	continuous relative abundance	abundance	primary	12652	HUNT	0.0043	0.0329	0.1306990881458966	data/raw/gwas/microbiome_hunt/GCST90666580/GCST90666580.h.tsv.gz
GCST90670408	species	GCA_000432435.1	Fimenecus sp000432435	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670408/GCST90670408.h.tsv.gz
GCST90670781	species	GCA_900542565.1	Fimisoma avicola	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670781/GCST90670781.h.tsv.gz
GCST90666916	species	hMGS.02710	Fimivivens sp014385025	continuous relative abundance	abundance	primary	12652	HUNT	0.0958	0.0352	2.7215909090909087	data/raw/gwas/microbiome_hunt/GCST90666916/GCST90666916.h.tsv.gz
GCST90666874	species	hMGS.01706	Fimivivens sp900113995	continuous relative abundance	abundance	primary	12652	HUNT	0.0524	0.036	1.4555555555555555	data/raw/gwas/microbiome_hunt/GCST90666874/GCST90666874.h.tsv.gz
GCST90666960	species	hMGS.03891	Flavonifractor avistercoris	continuous relative abundance	abundance	primary	12652	HUNT	0.025	0.0352	0.7102272727272727	data/raw/gwas/microbiome_hunt/GCST90666960/GCST90666960.h.tsv.gz
GCST90666637	species	hMGS.00157	Flavonifractor plautii	continuous relative abundance	abundance	primary	12652	HUNT	0.1973	0.047	4.197872340425532	data/raw/gwas/microbiome_hunt/GCST90666637/GCST90666637.h.tsv.gz
GCST90671223	species	GCF_014384905.1	Fumia xinanensis	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90671223/GCST90671223.h.tsv.gz
GCST90670986	species	GCA_902362365.1	GCA-900066495 sp902362365	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670986/GCST90670986.h.tsv.gz
GCST90671245	species	GCF_014384795.1	Gehongia tenuis	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90671245/GCST90671245.h.tsv.gz
GCST90670546	species	GCF_018784445.1	Gemmiger sp900540775	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670546/GCST90670546.h.tsv.gz
GCST90666919	species	hMGS.02733	Gordonibacter pamelaeae	continuous relative abundance	abundance	primary	12652	HUNT	0.0453	0.0355	1.276056338028169	data/raw/gwas/microbiome_hunt/GCST90666919/GCST90666919.h.tsv.gz
GCST90666965	species	hMGS.03966	HGM14224 sp900761905	continuous relative abundance	abundance	primary	12652	HUNT	0.0928	0.0333	2.786786786786786	data/raw/gwas/microbiome_hunt/GCST90666965/GCST90666965.h.tsv.gz
GCST90671072	species	GCA_900761905.1	HGM14224 sp900761905	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90671072/GCST90671072.h.tsv.gz
GCST90670990	species	GCA_004340125.1	Harryflintia acetispora	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670990/GCST90670990.h.tsv.gz
GCST90667057	species	hMGS.07107	Instestinimonas A gabonensis	continuous relative abundance	abundance	primary	12652	HUNT	0.0093	0.0355	0.2619718309859155	data/raw/gwas/microbiome_hunt/GCST90667057/GCST90667057.h.tsv.gz
GCST90670756	species	GCF_015667935.1	Intestinibacter sp900540355	Linear	abundance	primary	16017	Swedish	0.1319	0.0327	4.033639143730887	data/raw/gwas/microbiome_swedish/GCST90670756/GCST90670756.h.tsv.gz
GCST90666861	species	hMGS.01559	Intestinimonas massiliensis	continuous relative abundance	abundance	primary	12652	HUNT	0.0768	0.0361	2.127423822714681	data/raw/gwas/microbiome_hunt/GCST90666861/GCST90666861.h.tsv.gz
GCST90671259	species	GCA_019421015.1	JAHZGC01 sp019421015	Linear	abundance	primary	16017	Swedish	-0.0145	0.0256	-0.56640625	data/raw/gwas/microbiome_swedish/GCST90671259/GCST90671259.h.tsv.gz
GCST90671193	species	GCA_019114465.1	Lachnoclostridium A avicola	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90671193/GCST90671193.h.tsv.gz
GCST90671075	species	GCF_000765215.1	Lachnoclostridium B sp000765215	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90671075/GCST90671075.h.tsv.gz
GCST90670749	species	GCF_003477705.1	Lachnoclostridium B sp900066555	Linear	abundance	primary	16017	Swedish	0.0742	0.0318	2.3333333333333335	data/raw/gwas/microbiome_swedish/GCST90670749/GCST90670749.h.tsv.gz
GCST90671115	species		Lawsonibacter hMGS.05443	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90671115/GCST90671115.h.tsv.gz
GCST90670813	species	GCA_902362775.1	Lawsonibacter sp900066645	Linear	abundance	primary	16017	Swedish	0.0015	0.0289	0.0519031141868512	data/raw/gwas/microbiome_swedish/GCST90670813/GCST90670813.h.tsv.gz
GCST90666799	species	hMGS.00921	Lawsonibacter sp900545895	continuous relative abundance	abundance	primary	12652	HUNT	0.0784	0.0365	2.147945205479452	data/raw/gwas/microbiome_hunt/GCST90666799/GCST90666799.h.tsv.gz
GCST90671218	species	GCA_900543485.1	Lentihominibacter excrementipullorum	Linear	abundance	primary	16017	Swedish	0.0317	0.0268	1.1828358208955223	data/raw/gwas/microbiome_swedish/GCST90671218/GCST90671218.h.tsv.gz
GCST90667039	species	hMGS.06699	Lentihominibacter hominis	continuous relative abundance	abundance	primary	12652	HUNT	0.0848	0.0356	2.3820224719101124	data/raw/gwas/microbiome_hunt/GCST90667039/GCST90667039.h.tsv.gz
GCST90671214	species	GCA_902362435.1	Lentihominibacter sp900066305	Linear	abundance	primary	16017	Swedish	0.0003	0.0276	0.0108695652173913	data/raw/gwas/microbiome_swedish/GCST90671214/GCST90671214.h.tsv.gz
GCST90671285	species	GCA_905193765.1	Lentihominibacter sp905193765	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90671285/GCST90671285.h.tsv.gz
GCST90670555	species	GCA_900540045.1	Limiplasma merdipullorum	Linear	abundance	primary	16017	Swedish	0.0308	0.0315	0.977777777777778	data/raw/gwas/microbiome_swedish/GCST90670555/GCST90670555.h.tsv.gz
GCST90666806	species	hMGS.01005	Limivivens sp900543575	continuous relative abundance	abundance	primary	12652	HUNT	0.0737	0.0359	2.052924791086351	data/raw/gwas/microbiome_hunt/GCST90666806/GCST90666806.h.tsv.gz
GCST90670796	species	GCF_004341945.1	Longicatena caecimuris	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670796/GCST90670796.h.tsv.gz
GCST90671237	species	GCA_900169975.1	Marseille-P3106 sp900169975	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90671237/GCST90671237.h.tsv.gz
GCST90671001	species	GCA_003435055.1	Marvinbryantia sp900066075	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90671001/GCST90671001.h.tsv.gz
GCST90670838	species	GCF_900199515.1	Massilicoli timonensis	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670838/GCST90670838.h.tsv.gz
